task,policy,seed,score
easy_cashless,random,0,0.4387
easy_cashless,random,1,0.3041
easy_cashless,random,2,0.5438
easy_cashless,random,3,0.1804
easy_cashless,random,4,0.4802
easy_cashless,random,5,0.1686
easy_cashless,random,6,0.4829
easy_cashless,random,7,0.4374
easy_cashless,random,8,0.4383
easy_cashless,random,9,0.2699
easy_cashless,random,10,0.2327
easy_cashless,random,11,0.2630
easy_cashless,random,12,0.4394
easy_cashless,random,13,0.3901
easy_cashless,random,14,0.4756
easy_cashless,random,15,0.4070
easy_cashless,random,16,0.2258
easy_cashless,random,17,0.3357
easy_cashless,random,18,0.3411
easy_cashless,random,19,0.3038
easy_cashless,no_op,0,0.3875
easy_cashless,no_op,1,0.3875
easy_cashless,no_op,2,0.3875
easy_cashless,no_op,3,0.3875
easy_cashless,no_op,4,0.3875
easy_cashless,no_op,5,0.3875
easy_cashless,no_op,6,0.3875
easy_cashless,no_op,7,0.3875
easy_cashless,no_op,8,0.3875
easy_cashless,no_op,9,0.3875
easy_cashless,no_op,10,0.3875
easy_cashless,no_op,11,0.3875
easy_cashless,no_op,12,0.3875
easy_cashless,no_op,13,0.3875
easy_cashless,no_op,14,0.3875
easy_cashless,no_op,15,0.3875
easy_cashless,no_op,16,0.3875
easy_cashless,no_op,17,0.3875
easy_cashless,no_op,18,0.3875
easy_cashless,no_op,19,0.3875
easy_cashless,scripted,0,1.0000
easy_cashless,scripted,1,1.0000
easy_cashless,scripted,2,1.0000
easy_cashless,scripted,3,1.0000
easy_cashless,scripted,4,1.0000
easy_cashless,scripted,5,1.0000
easy_cashless,scripted,6,1.0000
easy_cashless,scripted,7,1.0000
easy_cashless,scripted,8,1.0000
easy_cashless,scripted,9,1.0000
easy_cashless,scripted,10,1.0000
easy_cashless,scripted,11,1.0000
easy_cashless,scripted,12,1.0000
easy_cashless,scripted,13,1.0000
easy_cashless,scripted,14,1.0000
easy_cashless,scripted,15,1.0000
easy_cashless,scripted,16,1.0000
easy_cashless,scripted,17,1.0000
easy_cashless,scripted,18,1.0000
easy_cashless,scripted,19,1.0000
medium_multi_payer,random,0,0.2502
medium_multi_payer,random,1,0.2727
medium_multi_payer,random,2,0.2714
medium_multi_payer,random,3,0.2086
medium_multi_payer,random,4,0.3492
medium_multi_payer,random,5,0.1399
medium_multi_payer,random,6,0.3157
medium_multi_payer,random,7,0.1373
medium_multi_payer,random,8,0.2070
medium_multi_payer,random,9,0.1433
medium_multi_payer,random,10,0.2028
medium_multi_payer,random,11,0.1411
medium_multi_payer,random,12,0.1469
medium_multi_payer,random,13,0.1988
medium_multi_payer,random,14,0.2022
medium_multi_payer,random,15,0.2634
medium_multi_payer,random,16,0.1292
medium_multi_payer,random,17,0.1417
medium_multi_payer,random,18,0.2591
medium_multi_payer,random,19,0.2614
medium_multi_payer,no_op,0,0.1500
medium_multi_payer,no_op,1,0.1500
medium_multi_payer,no_op,2,0.1500
